Gestational Age in Days,1st Delivery Frequency,2nd+ Delivery Frequency
259,1.0%,1.4%
260,1.2%,1.5%
261,1.2%,1.5%
262,1.3%,1.5%
263,1.4%,1.7%
264,1.5%,1.8%
265,1.7%,2.1%
266,2.1%,2.7%
267,2.3%,2.9%
268,2.6%,3.2%
269,2.9%,3.4%
270,3.1%,3.7%
271,3.5%,4.1%
272,3.8%,4.5%
273,5.0%,7.0%
274,5.4%,6.5%
275,5.3%,5.8%
276,5.3%,5.4%
277,5.3%,5.0%
278,5.2%,4.8%
279,5.2%,4.5%
280,5.3%,4.5%
281,5.0%,4.1%
282,4.5%,3.4%
283,4.0%,2.9%
284,3.4%,2.4%
285,2.9%,2.0%
286,2.4%,1.6%
287,2.1%,1.4%
288,1.5%,0.9%
289,0.9%,0.6%
290,0.5%,0.4%
291,0.4%,0.3%
292,0.2%,0.2%
293,0.2%,0.1%
294,0.1%,0.1%
295,0.1%,0.0%
296,0.0%,0.0%
297,0.0%,0.0%
298,0.0%,0.0%
